Fecha,Indices
may-06,55.91768667
jun-06,55.98296877
jul-06,56.14171137
ago-06,56.44736064
sep-06,56.73581262
oct-06,57.09985616
nov-06,58.2557673
dic-06,58.64846877
ene-07,59.20359841
feb-07,59.26423585
mar-07,59.30487953
abr-07,58.98930828
may-07,58.42161144
jun-07,58.53759539
jul-07,58.7252209
ago-07,58.95949211
sep-07,59.24614616
oct-07,59.91339195
nov-07,60.70532625
dic-07,61.01065004
ene-08,61.46900653
feb-08,61.64172725
mar-08,62.16197523
abr-08,62.06507856
may-08,61.74063132
jun-08,62.12324737
jul-08,62.57403029
ago-08,63.28728584
sep-08,63.78450358
oct-08,64.52214298
nov-08,65.73473969
dic-08,66.08598963
ene-09,66.42620776
feb-09,66.62947217
mar-09,66.88995006
abr-09,66.87753304
may-09,66.23263264
jun-09,66.31357194
jul-09,66.32517379
ago-09,66.50501915
sep-09,66.60939981
oct-09,67.35380531
nov-09,68.27698095
dic-09,68.43234707
ene-10,69.44468112
feb-10,69.90187367
mar-10,70.15739023
abr-10,69.78468199
may-10,68.8433166
jun-10,68.76836098
jul-10,68.81631618
ago-10,69.05066905
sep-10,69.30037408
oct-10,70.0403455
nov-10,71.09396346
dic-10,71.2987476
ene-11,71.85042076
feb-11,72.314819
mar-11,72.61441968
abr-11,71.81006886
may-11,70.79932769
jun-11,71.00551888
jul-11,71.27302
ago-11,71.51186687
sep-11,71.81980208
oct-11,72.96627152
nov-11,74.77042664
dic-11,75.44358613
ene-12,76.18431771
feb-12,76.5483764
mar-12,76.61409418
abr-12,75.9609062
may-12,74.94595059
jun-12,75.13323694
jul-12,75.68297487
ago-12,76.1344168
sep-12,76.28488293
oct-12,77.04199896
nov-12,78.35534722
dic-12,78.43649982
ene-13,79.05677899
feb-13,79.57399123
mar-13,79.99036859
abr-13,79.858333
may-13,79.17507617
jun-13,79.31288752
jul-13,79.32577443
ago-13,79.46195874
sep-13,79.69764483
oct-13,80.60742871
nov-13,82.01837647
dic-13,82.51668655
ene-14,83.93115415
feb-14,84.17780143
mar-14,84.38570999
abr-14,83.71941106
may-14,82.81921992
jun-14,83.12475918
jul-14,83.28543197
ago-14,83.46903099
sep-14,83.67746626
oct-14,84.721734
nov-14,86.19125225
dic-14,86.35962372
ene-15,86.4008472
feb-15,86.67649754
mar-15,87.15662404
abr-15,86.33086756
may-15,84.99899071
jun-15,85.04348216
jul-15,84.96258827
ago-15,85.1985292
sep-15,85.4098163
oct-15,86.3006265
nov-15,87.24948489
dic-15,87.23554415
ene-16,87.32386388
feb-16,87.60267084
mar-16,87.64088453
abr-16,86.96143339
may-16,85.67537259
jun-16,85.69247188
jul-16,86.18115197
ago-16,86.5708614
sep-16,86.76492884
oct-16,87.86176161
nov-16,89.32303098
dic-16,89.69159976
ene-17,93.66186642
feb-17,94.30349651
mar-17,94.51452209
abr-17,93.77142359
may-17,92.93960884
jun-17,93.03656194
jul-17,93.01716282
ago-17,93.43458814
sep-17,93.80569321
oct-17,95.59750597
nov-17,97.6722771
dic-17,98.31489327
ene-18,99.55047264
feb-18,100.3983335
mar-18,100.6209305
abr-18,99.58525084
may-18,98.90654342
jun-18,99.41737859
jul-18,99.88926392
ago-18,100.6128585
sep-18,101.4412656
oct-18,102.5622507
nov-18,103.636272
dic-18,103.7803922
ene-19,103.5931844
feb-19,104.2122222
mar-19,104.9012972
abr-19,104.1410627
may-19,103.0903944
jun-19,102.7562935
jul-19,102.8151876
ago-19,102.9592628
sep-19,103.3398955
oct-19,104.5528477
nov-19,106.1438601
dic-19,106.5081742
ene-20,106.9415325
feb-20,107.149865
mar-20,106.2919112
abr-20,103.797302
may-20,104.3327693
jun-20,105.9874551
jul-20,107.3574121
ago-20,107.6103844
sep-20,107.6990707
oct-20,108.7278668
nov-20,109.4129686
dic-20,110.1657918
ene-21,111.9990937
feb-21,113.3463905
mar-21,114.8022926
abr-21,114.5077872
may-21,113.6136111
jun-21,114.2235024
jul-21,115.1826526
ago-21,114.5776564
sep-21,115.4662557
oct-21,117.4350055
nov-21,119.064912
dic-21,119.0322338
ene-22,119.9964249
feb-22,121.2691098
mar-22,123.0385269
abr-22,123.3939627
may-22,122.9681415
jun-22,123.9982912
jul-22,125.1855366
ago-22,125.939693
sep-22,126.4960498
oct-22,127.5864327
nov-22,128.953698
dic-22,129.0535732
ene-23,129.934284
feb-23,130.9154819
mar-23,131.0868589
abr-23,130.4366994
may-23,129.1870081
jun-23,128.7056081
jul-23,128.6869956
ago-23,129.4006566
sep-23,130.2120333
oct-23,131.785215
nov-23,133.6859312
dic-23,134.0319613
ene-24,134.5114477
feb-24,135.685118
mar-24,135.8800835
abr-24,135.314239
may-24,134.1206027
jun-24,134.2734371
jul-24,135.4202243
