"Instituto Nacional de Estadística y Geografía",
"Índices de Precios al Consumidor",
"",
"Fecha de consulta: 17/09/2025 07:40:37",

"Título","Periodo disponible","Periodicidad","Cifra","Unidad","Base","Aviso","Tipo de información","Serie","Ene 2023","Feb 2023","Mar 2023","Abr 2023","May 2023","Jun 2023","Jul 2023","Ago 2023","Sep 2023","Oct 2023","Nov 2023","Dic 2023","Ene 2024","Feb 2024","Mar 2024","Abr 2024","May 2024","Jun 2024","Jul 2024"
"Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (mensual), Otros tabulados,  Índice de la canasta básica","Ene 1982-Jul 2024","Mensual","Índices","Sin Unidad","Índice base segunda quincena de julio 2018 = 100","Las desagregaciones del INPC solo tienen valor informativo.
  SP9","Inflación mensual","583733","0.682438147199","0.755149324900","0.130906583655","-0.495976046301","-0.958082635294","-0.372638097884","-0.014461249886","0.554571176469","0.627026684835","1.208169279244","1.442283301129","0.258838073099","0.357740384623","0.872542999407","0.143689672928","-0.416429252475","-0.882121787377","0.113953022409","0.854068559763"
